상표명,세균제위험,곰팡이제위험,계열
진시황(규산나트륨+황),🟡,🟡,무기황
천연유황수(황),🟡,🟡,무기황
총채스탑 수화제(미생물+중탄산나트륨),🟢,🟡,중탄산(중조)
총채싹플러스(규조토+미생물+중탄산나트륨),🟢,🟡,중탄산(중조)
충균쇄(비누+생석회+식물추출물+황),🟡,🟡,무기황
충자탄(규조토+님추출물+식물추출물+황),🟡,🟡,무기황
충지기입제(파라핀오일+데리스추출물+목초액+규조토),🟡,🟡,목초·산성
치유팜-충(목초액+식물추출물+에틸알콜),🟡,🟡,목초·산성
치유황(규산나트륨+황),🟡,🟡,무기황
친환경올킬(황),🟡,🟡,무기황
코프황(황),🟡,🟡,무기황
키틴쏘일백신(키토산+황),🟡,🟡,무기황
탑믹스올제로(님추출물+황),🟡,🟡,무기황
탑클린(황),🟡,🟡,무기황
티오썰퍼(벤토나이트+황),🟡,🟡,무기황
팡이닥터(목초액+식물추출물),🟡,🟡,목초·산성
팡클린(목초액+식물추출물+에틸알콜),🟡,🟡,목초·산성
프로설파800(황),🟡,🟡,무기황
플로썰(황),🟡,🟡,무기황
한방킬(황),🟡,🟡,무기황
한방플러스(목초액+식물추출물+제충국추출물+키토산),🟡,🟡,목초·산성
활화산(황),🟡,🟡,무기황
황금 에스1(S1)(천일염+황),🟡,🟡,무기황
황금동충플러스(님추출물+황),🟡,🟡,무기황
황대장(황),🟡,🟡,무기황
황대황(식물추출물+황),🟡,🟡,무기황
황서방(벤토나이트+황),🟡,🟡,무기황
황제균(황),🟡,🟡,무기황
황칠황(규산나트륨+식물추출물+황),🟡,🟡,무기황
황킬(황),🟡,🟡,무기황
황토랑유황(황),🟡,🟡,무기황
휘파람소리(규산나트륨+황),🟡,🟡,무기황
흙살림황수화제(황),🟡,🟡,무기황
흰자비(중탄산나트륨),🟢,🟡,중탄산(중조)
3종 복합 노린재(페로몬),🟢,🟢,천적·페로몬·물리
4종 복합교미교란제(페로몬),🟢,🟢,천적·페로몬·물리
가든키퍼(비누+식물추출물),🟢,🟢,님·식물추출
가루싹(미생물+식물추출물),🟢,🟢,미생물·생물농약
가루이뚝(님추출물),🟢,🟢,님·식물추출
가루지기(식물성오일),🟢,🟢,난황·유지
가루지기-골드(데리스추출물+식물성오일),🟢,🟢,난황·유지
가루퇴진골드(식물추출물),🟢,🟢,님·식물추출
갈색모아썩덩모아 페로몬 트랩(페로몬),🟢,🟢,천적·페로몬·물리
골드넥스(광물질),🟢,🟢,키토산·광물·기타
곰바이박사(식물추출물),🟢,🟢,님·식물추출
과수2종노린재(페로몬),🟢,🟢,천적·페로몬·물리
과수복합노린재(페로몬),🟢,🟢,천적·페로몬·물리
규산골드(규산나트륨),🟢,🟢,키토산·광물·기타
규산대장골드(규산나트륨),🟢,🟢,키토산·광물·기타
규산박사(규산나트륨),🟢,🟢,키토산·광물·기타
규산왕플러스(규산나트륨),🟢,🟢,키토산·광물·기타
규산팜(규산나트륨),🟢,🟢,키토산·광물·기타
균나라(식물추출물+천연산),🟢,🟢,님·식물추출
균도리(식물성오일+에틸알콜+파라핀오일),🟢,🟢,난황·유지
균마스터(식물추출물),🟢,🟢,님·식물추출
균바이(미생물),🟢,🟢,미생물·생물농약
균스탑(미생물),🟢,🟢,미생물·생물농약
균싸이드(식물추출물),🟢,🟢,님·식물추출
균싹(미생물),🟢,🟢,미생물·생물농약
균잡스(식물추출물),🟢,🟢,님·식물추출
균제왕 골드(미생물추출물),🟢,🟢,미생물·생물농약
균탑(식물성오일),🟢,🟢,난황·유지
그린 매나모아 플러스 성페로몬 트랩(페로몬),🟢,🟢,천적·페로몬·물리
그린 멸강모아 성페로몬 트랩(페로몬),🟢,🟢,천적·페로몬·물리
그린 열거모아 성페로몬 트랩(페로몬),🟢,🟢,천적·페로몬·물리
그린 토뿔모아 성페로몬 트랩(페로몬),🟢,🟢,천적·페로몬·물리
그린도보겐(규산나트륨),🟢,🟢,키토산·광물·기타
그린졸 유제(님추출물+식물성오일),🟢,🟢,난황·유지
그린졸 입제(님추출물),🟢,🟢,님·식물추출
그린충패쓰(제충국추출물),🟢,🟢,님·식물추출
그린팜(식물추출물),🟢,🟢,님·식물추출
그린포수(식물추출물+파라핀오일),🟢,🟢,난황·유지
금빛유산 그린(규산나트륨),🟢,🟢,키토산·광물·기타
깍뚝(식물성오일),🟢,🟢,난황·유지
깍지대첩(데리스추출물+식물추출물),🟢,🟢,님·식물추출
깍지진디킬(식물성오일+식물추출물),🟢,🟢,난황·유지
끌리지오(메타알데하이드),🟢,🟢,천적·페로몬·물리
나노이온규산(규산나트륨),🟢,🟢,키토산·광물·기타
나방마스터(식물추출물+파라핀오일),🟢,🟢,난황·유지
나방박사(식물추출물),🟢,🟢,님·식물추출
나방엔에코(미생물),🟢,🟢,미생물·생물농약
나방잡아(미생물),🟢,🟢,미생물·생물농약
나방진(식물성오일+식물추출물),🟢,🟢,난황·유지
나방철이(님추출물),🟢,🟢,님·식물추출
나방큐(식물추출물+에틸알콜),🟢,🟢,님·식물추출
나방킬(식물성오일),🟢,🟢,난황·유지
나비티(식물추출물),🟢,🟢,님·식물추출
네마 아웃(Nema Out)(식물성오일),🟢,🟢,난황·유지
네마닥터 골드(미생물),🟢,🟢,미생물·생물농약
네마닥터(미생물추출물),🟢,🟢,미생물·생물농약
네마씨에코 입제(미생물),🟢,🟢,미생물·생물농약
네마씨에코(미생물),🟢,🟢,미생물·생물농약
네마캐치 액제(미생물추출물),🟢,🟢,미생물·생물농약
노고지리(미생물),🟢,🟢,미생물·생물농약
노린재컷(식물추출물+에틸알콜+제충국추출물),🟢,🟢,님·식물추출
노린충뚝(식물추출물),🟢,🟢,님·식물추출
노재틴(식물성오일),🟢,🟢,난황·유지
노팡스(미생물),🟢,🟢,미생물·생물농약
노피엠(식물추출물),🟢,🟢,님·식물추출
노피엠입제(식물추출물),🟢,🟢,님·식물추출
뉴(New)바이백신(미생물추출물),🟢,🟢,미생물·생물농약
뉴응칠이(식물성오일+식물추출물),🟢,🟢,난황·유지
뉴참청(미생물추출물+식물추출물),🟢,🟢,미생물·생물농약
뉴톡깍이파워(데리스추출물+식물성오일),🟢,🟢,난황·유지
다이네마이트(식물성오일),🟢,🟢,난황·유지
다이원골드(식물추출물),🟢,🟢,님·식물추출
다자바(식물추출물),🟢,🟢,님·식물추출
다지톨(식물성오일),🟢,🟢,난황·유지
닥터팜(식물성오일+식물추출물),🟢,🟢,난황·유지
달마시안 제충국 S1(제충국추출물+식물추출물),🟢,🟢,님·식물추출
달마시안제충국S2(제충국추출물+식물추출물),🟢,🟢,님·식물추출
달팽이없는마을(규조토+식물추출물),🟢,🟢,님·식물추출
대덕항공규산(규산나트륨),🟢,🟢,키토산·광물·기타
대유굳바이러스골드 액제(식물추출물),🟢,🟢,님·식물추출
대유나방멸(규조토+미생물),🟢,🟢,미생물·생물농약
대유노팽이알파 액제(식물추출물+인산철),🟢,🟢,님·식물추출
대유노팽이알파(메타알데하이드+인산철),🟢,🟢,천적·페로몬·물리
대유님비티(님추출물+미생물),🟢,🟢,미생물·생물농약
대유다이포스(식물성오일),🟢,🟢,난황·유지
대유닥터푸란트 액제(미생물),🟢,🟢,미생물·생물농약
대유닥터푸란트(규조토+미생물),🟢,🟢,미생물·생물농약
대유달마가(식물추출물),🟢,🟢,님·식물추출
대유마이크로닥터(미생물),🟢,🟢,미생물·생물농약
대유마이킹(미생물),🟢,🟢,미생물·생물농약
대유선충뚝(식물추출물),🟢,🟢,님·식물추출
대유에코사이드(규조토+미생물),🟢,🟢,미생물·생물농약
대유오르토실(규산나트륨),🟢,🟢,키토산·광물·기타
대유응진싹 직접살포액(식물성오일),🟢,🟢,난황·유지
대유응진싹(식물성오일),🟢,🟢,난황·유지
대유줌실-에이(규산나트륨),🟢,🟢,키토산·광물·기타
대유총진싹 입제(규조토+미생물),🟢,🟢,미생물·생물농약
대유총진싹(미생물),🟢,🟢,미생물·생물농약
대유총진싹골드(미생물),🟢,🟢,미생물·생물농약
대유충더지(식물성오일),🟢,🟢,난황·유지
대유충박멸 입제(규조토+식물성오일+제충국추출물),🟢,🟢,난황·유지
대유쿠르스타(미생물),🟢,🟢,미생물·생물농약
대유파라왁스(파라핀오일),🟢,🟢,난황·유지
대유파라핀(파라핀오일),🟢,🟢,난황·유지
대유팡싹충싹 입제(규조토+미생물),🟢,🟢,미생물·생물농약
대유팽이아웃(인산철),🟢,🟢,천적·페로몬·물리
대유플라즈마님 입제(님추출물),🟢,🟢,님·식물추출
대유플라즈마님(님추출물),🟢,🟢,님·식물추출
더기찬규산 액제(규산나트륨),🟢,🟢,키토산·광물·기타
더기찬규산 입제(규산나트륨),🟢,🟢,키토산·광물·기타
도복그라(규산나트륨),🟢,🟢,키토산·광물·기타
도복에짱(규산나트륨),🟢,🟢,키토산·광물·기타
도열이(식물성오일),🟢,🟢,난황·유지
돌발충격파(식물추출물+제충국추출물),🟢,🟢,님·식물추출
동시탄(미생물추출물),🟢,🟢,미생물·생물농약
동시탄플러스(미생물),🟢,🟢,미생물·생물농약
두배싹(식물추출물+파라핀오일),🟢,🟢,난황·유지
듀얼가드(미생물추출물),🟢,🟢,미생물·생물농약
드림탑규산(규산나트륨),🟢,🟢,키토산·광물·기타
듬지칸(규산나트륨),🟢,🟢,키토산·광물·기타
땅도리(님추출물+식물성오일),🟢,🟢,난황·유지
땅지옥(님추출물+식물추출물),🟢,🟢,님·식물추출
땅해충싹(식물추출물),🟢,🟢,님·식물추출
라바 아웃(식물추출물),🟢,🟢,님·식물추출
라바규산(규산나트륨),🟢,🟢,키토산·광물·기타
라바뚝플러스(님추출물),🟢,🟢,님·식물추출
라바피드 아웃(식물추출물),🟢,🟢,님·식물추출
라박실(Labacill)(미생물추출물),🟢,🟢,미생물·생물농약
람피드(미생물추출물),🟢,🟢,미생물·생물농약
래보(식물추출물),🟢,🟢,님·식물추출
랜드세이버 유제(식물성오일+파라핀오일),🟢,🟢,난황·유지
랜드세이버 입제(식물성오일+파라핀오일),🟢,🟢,난황·유지
랜드크린(식물추출물),🟢,🟢,님·식물추출
랜드크린유제(식물성오일+식물추출물+파라핀오일),🟢,🟢,난황·유지
랜드크린입제(식물성오일+식물추출물+파라핀오일),🟢,🟢,난황·유지
